,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1750-01-01,8.486566275081087,7.623300762419759,8.610736961001248,8.486566275081087,8.486566275081087,-0.36304105739839204,-0.36304105739839204,-0.36304105739839204,-0.36304105739839204,-0.36304105739839204,-0.36304105739839204,0.0,0.0,0.0,8.123525217682694
1,1751-01-01,8.48776980862924,7.573571881770118,8.533307997626565,8.48776980862924,8.48776980862924,-0.42363033496802843,-0.42363033496802843,-0.42363033496802843,-0.42363033496802843,-0.42363033496802843,-0.42363033496802843,0.0,0.0,0.0,8.064139473661212
2,1752-01-01,8.488973342177394,7.522322128413887,8.509903332550959,8.488973342177394,8.488973342177394,-0.483106348462503,-0.483106348462503,-0.483106348462503,-0.483106348462503,-0.483106348462503,-0.483106348462503,0.0,0.0,0.0,8.005866993714891
3,1753-01-01,8.490180173077734,7.68973760063584,8.663858781900638,8.490180173077734,8.490180173077734,-0.30141414822666557,-0.30141414822666557,-0.30141414822666557,-0.30141414822666557,-0.30141414822666557,-0.30141414822666557,0.0,0.0,0.0,8.188766024851068
4,1754-01-01,8.491383706625887,7.646774980773735,8.597992577758934,8.491383706625887,8.491383706625887,-0.36304105739842313,-0.36304105739842313,-0.36304105739842313,-0.36304105739842313,-0.36304105739842313,-0.36304105739842313,0.0,0.0,0.0,8.128342649227465
5,1755-01-01,8.492587240174041,7.5734546920986014,8.572063257532996,8.492587240174041,8.492587240174041,-0.42363033496823815,-0.42363033496823815,-0.42363033496823815,-0.42363033496823815,-0.42363033496823815,-0.42363033496823815,0.0,0.0,0.0,8.068956905205804
6,1756-01-01,8.493790773722194,7.551285407630485,8.501580763123611,8.493790773722194,8.493790773722194,-0.4831063484629349,-0.4831063484629349,-0.4831063484629349,-0.4831063484629349,-0.4831063484629349,-0.4831063484629349,0.0,0.0,0.0,8.01068442525926
7,1757-01-01,8.494997604622535,7.718318236625725,8.620760272557636,8.494997604622535,8.494997604622535,-0.30141414822643536,-0.30141414822643536,-0.30141414822643536,-0.30141414822643536,-0.30141414822643536,-0.30141414822643536,0.0,0.0,0.0,8.1935834563961
8,1758-01-01,8.496201138170688,7.647991025612471,8.584154034546856,8.496201138170688,8.496201138170688,-0.3630410573984204,-0.3630410573984204,-0.3630410573984204,-0.3630410573984204,-0.3630410573984204,-0.3630410573984204,0.0,0.0,0.0,8.133160080772267
9,1759-01-01,8.497404671818716,7.6056260076100175,8.569609461377416,8.497404671818716,8.497404671818716,-0.4236303349672048,-0.4236303349672048,-0.4236303349672048,-0.4236303349672048,-0.4236303349672048,-0.4236303349672048,0.0,0.0,0.0,8.07377433685151
10,1760-01-01,8.498608205466741,7.534361048596387,8.52637263693866,8.498608205466741,8.498608205466741,-0.4831063484641922,-0.4831063484641922,-0.4831063484641922,-0.4831063484641922,-0.4831063484641922,-0.4831063484641922,0.0,0.0,0.0,8.01550185700255
11,1761-01-01,8.499815036467227,7.679251710060167,8.69167970624661,8.499815036467227,8.499815036467227,-0.30141414822533835,-0.30141414822533835,-0.30141414822533835,-0.30141414822533835,-0.30141414822533835,-0.30141414822533835,0.0,0.0,0.0,8.198400888241888
12,1762-01-01,8.501018570115255,7.63566540354352,8.62728742913531,8.501018570115255,8.501018570115255,-0.36304105739887604,-0.36304105739887604,-0.36304105739887604,-0.36304105739887604,-0.36304105739887604,-0.36304105739887604,0.0,0.0,0.0,8.137977512716379
13,1763-01-01,8.50222210376328,7.564730287669415,8.557029425818326,8.50222210376328,8.50222210376328,-0.4236303349676489,-0.4236303349676489,-0.4236303349676489,-0.4236303349676489,-0.4236303349676489,-0.4236303349676489,0.0,0.0,0.0,8.078591768795631
14,1764-01-01,8.503425637411308,7.54354080212919,8.522303872868987,8.503425637411308,8.503425637411308,-0.48310634846356243,-0.48310634846356243,-0.48310634846356243,-0.48310634846356243,-0.48310634846356243,-0.48310634846356243,0.0,0.0,0.0,8.020319288947745
15,1765-01-01,8.504632468411794,7.748496699986853,8.69775825995441,8.504632468411794,8.504632468411794,-0.3014141482258048,-0.3014141482258048,-0.3014141482258048,-0.3014141482258048,-0.3014141482258048,-0.3014141482258048,0.0,0.0,0.0,8.20321832018599
16,1766-01-01,8.505836002059821,7.664335253167379,8.603964292871492,8.505836002059821,8.505836002059821,-0.36304105739799675,-0.36304105739799675,-0.36304105739799675,-0.36304105739799675,-0.36304105739799675,-0.36304105739799675,0.0,0.0,0.0,8.142794944661825
17,1767-01-01,8.507039535707847,7.6031737649687745,8.553243890546776,8.507039535707847,8.507039535707847,-0.42363033496825286,-0.42363033496825286,-0.42363033496825286,-0.42363033496825286,-0.42363033496825286,-0.42363033496825286,0.0,0.0,0.0,8.083409200739593
18,1768-01-01,8.508243069491517,7.50882392089973,8.499502138863875,8.508243069491517,8.508243069491517,-0.4831063484642249,-0.4831063484642249,-0.4831063484642249,-0.4831063484642249,-0.4831063484642249,-0.4831063484642249,0.0,0.0,0.0,8.025136721027291
19,1769-01-01,8.50944990062802,7.716922819167189,8.70970565565785,8.50944990062802,8.50944990062802,-0.30141414822626206,-0.30141414822626206,-0.30141414822626206,-0.30141414822626206,-0.30141414822626206,-0.30141414822626206,0.0,0.0,0.0,8.208035752401758
20,1770-01-01,8.510653434411688,7.643290242489738,8.640231220614625,8.510653434411688,8.510653434411688,-0.3630410573990782,-0.3630410573990782,-0.3630410573990782,-0.3630410573990782,-0.3630410573990782,-0.3630410573990782,0.0,0.0,0.0,8.14761237701261
21,1771-01-01,8.51185696819536,7.626284320111207,8.583942095852342,8.51185696819536,8.51185696819536,-0.4236303349678429,-0.4236303349678429,-0.4236303349678429,-0.4236303349678429,-0.4236303349678429,-0.4236303349678429,0.0,0.0,0.0,8.088226633227517
22,1772-01-01,8.51306050197903,7.515026557262268,8.474517745666512,8.51306050197903,8.51306050197903,-0.4831063484646567,-0.4831063484646567,-0.4831063484646567,-0.4831063484646567,-0.4831063484646567,-0.4831063484646567,0.0,0.0,0.0,8.029954153514373
23,1773-01-01,8.514267333115532,7.710645664990812,8.708426453260499,8.514267333115532,8.514267333115532,-0.301414148225831,-0.301414148225831,-0.301414148225831,-0.301414148225831,-0.301414148225831,-0.301414148225831,0.0,0.0,0.0,8.2128531848897
24,1774-01-01,8.515470866899204,7.688849158041944,8.636730213908935,8.515470866899204,8.515470866899204,-0.3630410573997652,-0.3630410573997652,-0.3630410573997652,-0.3630410573997652,-0.3630410573997652,-0.3630410573997652,0.0,0.0,0.0,8.152429809499438
25,1775-01-01,8.516674400682872,7.623619215316117,8.575663892347212,8.516674400682872,8.516674400682872,-0.4236303349685181,-0.4236303349685181,-0.4236303349685181,-0.4236303349685181,-0.4236303349685181,-0.4236303349685181,0.0,0.0,0.0,8.093044065714354
26,1776-01-01,8.51787793419572,7.532001567641003,8.509343333402962,8.51787793419572,8.51787793419572,-0.4831063484629848,-0.4831063484629848,-0.4831063484629848,-0.4831063484629848,-0.4831063484629848,-0.4831063484629848,0.0,0.0,0.0,8.034771585732736
27,1777-01-01,8.519084765060656,7.719420026841279,8.703968156196165,8.519084765060656,8.519084765060656,-0.30141414822583223,-0.30141414822583223,-0.30141414822583223,-0.30141414822583223,-0.30141414822583223,-0.30141414822583223,0.0,0.0,0.0,8.217670616834823
28,1778-01-01,8.520288298573504,7.673931992967432,8.651518389031875,8.520288298573504,8.520288298573504,-0.36304105739777814,-0.36304105739777814,-0.36304105739777814,-0.36304105739777814,-0.36304105739777814,-0.36304105739777814,0.0,0.0,0.0,8.157247241175726
29,1779-01-01,8.521491832086351,7.566389552360941,8.56199995044201,8.521491832086351,8.521491832086351,-0.42363033496872754,-0.42363033496872754,-0.42363033496872754,-0.42363033496872754,-0.42363033496872754,-0.42363033496872754,0.0,0.0,0.0,8.097861497117623
30,1780-01-01,8.5226953655992,7.540902486977504,8.541106692514749,8.5226953655992,8.5226953655992,-0.4831063484634167,-0.4831063484634167,-0.4831063484634167,-0.4831063484634167,-0.4831063484634167,-0.4831063484634167,0.0,0.0,0.0,8.039589017135782
31,1781-01-01,8.523902196464137,7.74559154266256,8.7029003981102,8.523902196464137,8.523902196464137,-0.30141414822693846,-0.30141414822693846,-0.30141414822693846,-0.30141414822693846,-0.30141414822693846,-0.30141414822693846,0.0,0.0,0.0,8.2224880482372
32,1782-01-01,8.525105729976984,7.685621543015598,8.622278491623234,8.525105729976984,8.525105729976984,-0.3630410573989169,-0.3630410573989169,-0.3630410573989169,-0.3630410573989169,-0.3630410573989169,-0.3630410573989169,0.0,0.0,0.0,8.162064672578067
33,1783-01-01,8.526309263489832,7.615784341540285,8.603736443030646,8.526309263489832,8.526309263489832,-0.42363033496831753,-0.42363033496831753,-0.42363033496831753,-0.42363033496831753,-0.42363033496831753,-0.42363033496831753,0.0,0.0,0.0,8.102678928521515
34,1784-01-01,8.527512797002679,7.574228314114901,8.499116701786477,8.527512797002679,8.527512797002679,-0.4831063484640697,-0.4831063484640697,-0.4831063484640697,-0.4831063484640697,-0.4831063484640697,-0.4831063484640697,0.0,0.0,0.0,8.04440644853861
35,1785-01-01,8.528719628412976,7.743930964110617,8.73103254825864,8.528719628412976,8.528719628412976,-0.3014141482260388,-0.3014141482260388,-0.3014141482260388,-0.3014141482260388,-0.3014141482260388,-0.3014141482260388,0.0,0.0,0.0,8.227305480186937
36,1786-01-01,8.529923162469693,7.693589647311915,8.692573192373949,8.529923162469693,8.529923162469693,-0.363041057398683,-0.363041057398683,-0.363041057398683,-0.363041057398683,-0.363041057398683,-0.363041057398683,0.0,0.0,0.0,8.16688210507101
37,1787-01-01,8.53112669652641,7.594341572445756,8.586424974265345,8.53112669652641,8.53112669652641,-0.4236303349686978,-0.4236303349686978,-0.4236303349686978,-0.4236303349686978,-0.4236303349686978,-0.4236303349686978,0.0,0.0,0.0,8.107496361557713
38,1788-01-01,8.532330230583128,7.556009761043519,8.521651863545712,8.532330230583128,8.532330230583128,-0.4831063484642799,-0.4831063484642799,-0.4831063484642799,-0.4831063484642799,-0.4831063484642799,-0.4831063484642799,0.0,0.0,0.0,8.049223882118849
39,1789-01-01,8.533537061993423,7.7487812190550365,8.737016451502878,8.533537061993423,8.533537061993423,-0.3014141482267367,-0.3014141482267367,-0.3014141482267367,-0.3014141482267367,-0.3014141482267367,-0.3014141482267367,0.0,0.0,0.0,8.232122913766686
40,1790-01-01,8.534740596050142,7.727748939466548,8.686268139526973,8.534740596050142,8.534740596050142,-0.36304105739913867,-0.36304105739913867,-0.36304105739913867,-0.36304105739913867,-0.36304105739913867,-0.36304105739913867,0.0,0.0,0.0,8.171699538651003
