,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1900-01-01,3.5400255692717497,-17.437683568830312,20.236637324534296,3.5400255692717497,3.5400255692717497,-2.0144662742055277,-2.0144662742055277,-2.0144662742055277,-2.0144662742055277,-2.0144662742055277,-2.0144662742055277,0.0,0.0,0.0,1.525559295066222
1,1901-01-01,3.860335300884406,-16.75516230644608,20.301371411028693,3.860335300884406,3.860335300884406,-2.0688119404810266,-2.0688119404810266,-2.0688119404810266,-2.0688119404810266,-2.0688119404810266,-2.0688119404810266,0.0,0.0,0.0,1.7915233604033793
2,1902-01-01,4.180645032497062,-17.12665171757756,20.557945032315498,4.180645032497062,4.180645032497062,-2.127984939987409,-2.127984939987409,-2.127984939987409,-2.127984939987409,-2.127984939987409,-2.127984939987409,0.0,0.0,0.0,2.052660092509653
3,1903-01-01,4.500954764109719,-15.647970793900722,20.945776955868013,4.500954764109719,4.500954764109719,-2.1919172567967276,-2.1919172567967276,-2.1919172567967276,-2.1919172567967276,-2.1919172567967276,-2.1919172567967276,0.0,0.0,0.0,2.309037507312991
4,1904-01-01,4.821264456088653,-16.154893708770043,22.3795992326171,4.821264456088653,4.821264456088653,-2.2605316455022098,-2.2605316455022098,-2.2605316455022098,-2.2605316455022098,-2.2605316455022098,-2.2605316455022098,0.0,0.0,0.0,2.5607328105864435
5,1905-01-01,5.14245170886753,-15.165066687753777,21.70551231462093,5.14245170886753,5.14245170886753,-2.068811940482214,-2.068811940482214,-2.068811940482214,-2.068811940482214,-2.068811940482214,-2.068811940482214,0.0,0.0,0.0,3.0736397683853163
6,1906-01-01,5.462761400846465,-15.797621487126992,20.73679430351094,5.462761400846465,5.462761400846465,-2.127984939987516,-2.127984939987516,-2.127984939987516,-2.127984939987516,-2.127984939987516,-2.127984939987516,0.0,0.0,0.0,3.334776460858949
7,1907-01-01,5.783071097915128,-14.706707138533437,21.44294184177237,5.783071097915128,5.783071097915128,-2.191917256796811,-2.191917256796811,-2.191917256796811,-2.191917256796811,-2.191917256796811,-2.191917256796811,0.0,0.0,0.0,3.591153841118317
8,1908-01-01,6.10338079498379,-14.584775864923575,21.353470799680164,6.10338079498379,6.10338079498379,-2.260531645501966,-2.260531645501966,-2.260531645501966,-2.260531645501966,-2.260531645501966,-2.260531645501966,0.0,0.0,0.0,3.8428491494818244
9,1909-01-01,6.4245680528663405,-14.515040589503954,22.70602157869707,6.4245680528663405,6.4245680528663405,-2.068811940481695,-2.068811940481695,-2.068811940481695,-2.068811940481695,-2.068811940481695,-2.068811940481695,0.0,0.0,0.0,4.355756112384645
10,1910-01-01,6.74487778137015,-14.005650171418868,22.889139528198317,6.74487778137015,6.74487778137015,-2.127984939987015,-2.127984939987015,-2.127984939987015,-2.127984939987015,-2.127984939987015,-2.127984939987015,0.0,0.0,0.0,4.616892841383135
11,1911-01-01,7.065187509873958,-13.551043406544396,23.44053852847446,7.065187509873958,7.065187509873958,-2.1919172567960508,-2.1919172567960508,-2.1919172567960508,-2.1919172567960508,-2.1919172567960508,-2.1919172567960508,0.0,0.0,0.0,4.873270253077907
